Sl. No.,State/ UT,Category,Physical Progress of Houses (Nos) - Sanctioned,Physical Progress of Houses (Nos) - Grounded,Physical Progress of Houses (Nos) - Completed/ Delivered,Financial Progress in respect of Central Assistance ( in Crore) - Sanctioned,Financial Progress in respect of Central Assistance ( in Crore) - Released
1,Andhra Pradesh,States,2137028,1990937,973837,32568.27,23800.26
2,Bihar,States,314477,305811,147979,4950.45,3368
3,Chhattisgarh,States,302663,289128,238894,4810.98,4088.81
4,Goa,States,3146,3146,3145,74.76,75.04
5,Gujarat,States,1005204,983778,918185,21064.34,19805.76
6,Haryana,States,115034,93153,68114,2171.64,1673.5
7,Himachal Pradesh,States,12758,12668,10705,215.95,202.02
8,Jharkhand,States,229156,213534,142810,3603.31,2987.87
9,Karnataka,States,638121,573160,369449,10614.43,7168.29
10,Kerala,States,167322,147721,123453,2781.18,2293.45
11,Madhya Pradesh,States,961147,949265,801068,15930.45,15284.69
12,Maharashtra,States,1364923,1116949,855339,25548.21,19323.37
13,Odisha,States,203380,180647,147148,3176.98,2479.75
14,Punjab,States,132235,116264,83894,2342.54,1825.79
15,Rajasthan,States,319863,264357,191971,5891.46,4693.97
16,Tamil Nadu,States,680347,663430,570294,11185.3,10135.67
17,Telangana,States,250084,244219,224659,4475.66,3718.27
18,Uttar Pradesh,States,1776823,1733051,1547101,27962.68,26065.17
19,Uttarakhand,States,64391,60160,34504,1176.51,940.86
20,West Bengal,States,668953,612998,400257,10773.5,7675.93
Sub- total (States),Sub- total (States),Sub- total (States),11347055,10554376,7852806,191318.59,157606.5
21,Arunachal Pradesh,North East States,8499,8070,7753,182.38,161.18
22,Assam,North East States,176643,160473,102712,2674.26,2065.73
23,Manipur,North East States,56037,48657,14699,841.39,471.91
24,Meghalaya,North East States,4758,3793,1632,72.35,43.31
25,Mizoram,North East States,39605,39215,11069,607.8,447.22
26,Nagaland,North East States,31860,31841,22850,503.91,393.41
27,Sikkim,North East States,316,316,202,6.13,7.09
28,Tripura,North East States,92854,84751,74049,1494.35,1273.47
Sub- total (North East States),Sub- total (North East States),Sub- total (North East States),410572,377116,234966,6382.57,4863.31
29,Andaman and Nicobar Islands,Union Territories,376,376,47,5.84,2.93
30,Chandigarh,Union Territories,1256,1256,1256,28.78,28.78
31,Dadra and Nagar Haveli and Daman and Diu,Union Territories,9947,9947,9230,214.4,200.27
32,Delhi,Union Territories,29976,29976,29976,692.53,692.53
33,Jammu and Kashmir,Union Territories,47040,42894,24244,724.94,483.48
34,Ladakh,Union Territories,1307,1014,843,30.22,24.05
35,Lakshadweep,Union Territories,NA,NA,NA,NA,NA
36,Puducherry,Union Territories,15995,15271,9994,254.12,223.19
Sub- total (Union Territories),Sub- total (Union Territories),Sub- total (Union Territories),105897,100734,75590,1950.84,1655.23
Grand Total (in Lakh),Grand Total (in Lakh),Grand Total (in Lakh),118.64,114.33,85.04,2,1.64
