Sl. No.,State/UT,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1,Andaman and Nicobar Islands,11518,18795,6095,813,30462,3479
2,Andhra Pradesh,5,14,49,12223916,3335699,26032
3,Arunachal Pradesh,1493,13603,32165,37235,51211,11809
4,Assam,908,145776,218004,10012553,6535793,911546
5,Bihar,4141614,1466273,722832,329024,20124309,8102525
6,Chandigarh,24813,11893,7401,81887,29123,68617
7,Chhattisgarh,2116614,8888421,3734603,1943316,4338434,1445291
8,Dadra and Nagar Haveli and Daman and Diu,81422,13329,11356,15934,9278,5673
9,Goa,13965,317,263,5139,53150,2993
10,Gujarat,2827816,166961,4571063,5333222,7797722,1298175
11,Haryana,1298633,337403,301903,5370263,3336424,783923
12,Himachal Pradesh,319610,214540,69740,18272,177390,38007
13,Jammu and Kashmir,50279,3401007,2110270,1541248,345574,156087
14,Jharkhand,5636121,235192,408189,1376486,1261854,357193
15,Karnataka,336,79,48,13555309,2729649,1379904
16,Kerala,6363179,176134,280201,327477,447414,400685
17,Ladakh,509,58033,16614,23107,57557,1581
18,Lakshadweep,1559,93,16593,7793,6884,3629
19,Madhya Pradesh,4862322,9127418,3712054,9335962,3688609,1976300
20,Maharashtra,6297711,270779,372000,1767033,17988254,1772735
21,Manipur,145702,70137,102612,84725,106287,45204
22,Meghalaya,1282954,41373,145262,78430,134596,111031
23,Mizoram,209925,11031,3934,78403,111873,21678
24,Nagaland,206756,16648,21680,191171,230312,65473
25,Puducherry,113996,15791,256502,23457,94097,17890
26,Punjab,3684680,2261785,1579195,198965,872250,429386
27,Rajasthan,0,0,0,10279284,10932764,387666
28,Sikkim,27207,2701,10791,7921,20134,6519
29,Tamil Nadu,188,179,373,3247688,3945041,479990
30,Telangana,0,0,0,6949448,1297866,9879
31,Tripura,768202,117875,37516,41307,530126,180142
32,Uttar Pradesh,6528640,4405932,4153506,9181397,23256644,1387547
33,Uttarakhand,857669,549944,353410,377527,563069,287419
