Sl. No.,State/UT,Central Release,Expenditure
1,Andaman and Nicobar Islands,1.05,0.47
2,Andhra Pradesh,29.32,36.17
3,Arunachal Pradesh,0,0.1
4,Assam,103.09,89.84
5,Bihar,0,47.21
6,Chandigarh,5.13,3.11
7,Chattisgarh,14.66,23.27
8,Dadra and Nagar Haveli and Daman and Diu,0.53,0.47
9,Delhi,NA,NA
10,Goa,0,0.03
11,Gujarat,79.38,80.11
12,Haryana,0,26.46
13,Himachal Pradesh,23.11,20
14,Jammu and Kashmir,60.44,49.3
15,Jharkhand,21.27,226.57
16,Karnataka,69.5,107.36
17,Kerala,16.45,20.89
18,Ladakh,0.31,0.31
19,Lakshadweep,0,0.39
20,Madhya Pradesh,60.04,208.94
21,Maharashtra,34.71,36.04
22,Manipur,5.74,12.56
23,Meghalaya,1.85,20.49
24,Mizoram,1.96,5.03
25,Nagaland,0,1.08
26,Odisha,98.24,151.5
27,Puducherry,1.25,2.11
28,Punjab,1.14,30.46
29,Rajasthan,67.31,99.14
30,Sikkim,0.84,3.19
31,Tamil Nadu,168.72,418.55
32,Telangana,108.65,178.21
33,Tripura,2.12,3.15
34,Uttar Pradesh,400.95,340.09
35,Uttarakhand,18.43,15.81
36,West Bengal,71.98,52.41
