State,Beneficiaries,Funds_Allocated,Funds_Spent,Efficiency,Utilization
Andaman and Nicobar Islands,13001.0,390.03,351.027,37.03703703703704,90.0
Andhra Pradesh,4008666.0,120259.98,108233.982,37.03703703703704,90.0
Arunachal Pradesh,60062.0,1801.86,1621.674,37.03703703703704,90.0
Assam,517565.0,15526.949999999999,13974.255,37.03703703703704,90.0
Bihar,7315621.0,219468.63,197521.76700000002,37.03703703703703,90.00000000000001
Chhattisgarh,1930037.0,57901.11,52110.999,37.03703703703704,90.0
Delhi,12434.0,373.02,335.718,37.03703703703704,90.00000000000001
Goa,5894.0,176.82,159.138,37.03703703703704,90.0
Gujarat,4336927.0,130107.81,117097.029,37.03703703703704,90.0
Haryana,1430639.0,42919.17,38627.253,37.03703703703704,89.99999999999999
Himachal Pradesh,637148.0,19114.44,17202.996,37.03703703703704,90.0
Jammu and Kashmir,638979.0,19169.37,17252.433,37.03703703703704,90.00000000000001
Jharkhand,1151655.0,34549.65,31094.685,37.03703703703704,90.0
Karnataka,4837118.0,145113.54,130602.18600000002,37.03703703703703,90.0
Kerala,2099819.0,62994.57,56695.113,37.03703703703704,89.99999999999999
Ladakh,12500.0,375.0,337.5,37.03703703703704,90.0
Lakshadweep,725.0,21.75,19.575,37.03703703703704,90.0
Madhya Pradesh,7061480.0,211844.4,190659.96,37.03703703703704,90.0
Maharashtra,8036583.0,241097.49,216987.741,37.03703703703704,90.0
Meghalaya,5923.0,177.69,159.921,37.03703703703704,90.0
Mizoram,39927.0,1197.81,1078.029,37.03703703703704,90.0
Nagaland,113147.0,3394.41,3054.969,37.03703703703704,90.0
Odisha,2310654.0,69319.62,62387.657999999996,37.03703703703704,90.0
Puducherry,9096.0,272.88,245.592,37.03703703703704,90.0
Punjab,788772.0,23663.16,21296.844,37.03703703703704,90.0
Rajasthan,5337105.0,160113.15,144101.835,37.03703703703704,90.0
Sikkim,2349.0,70.47,63.423,37.03703703703704,90.0
Tamil Nadu,2014599.0,60437.97,54394.173,37.03703703703704,90.0
Telangana,2974058.0,89221.73999999999,80299.56599999999,37.03703703703704,90.0
Dadra and Nagar Haveli and Daman and Diu,11390.0,341.7,307.53,37.03703703703704,89.99999999999999
Tripura,210606.0,6318.179999999999,5686.361999999999,37.037037037037045,89.99999999999999
Uttar Pradesh,17205339.0,516160.17,464544.153,37.03703703703704,90.0
Uttarakhand,711497.0,21344.91,19210.419,37.03703703703703,90.00000000000001
West Bengal,4251512.0,127545.36,114790.82400000001,37.03703703703703,90.0
