State,Beneficiaries,Funds_Allocated,Funds_Spent,Scheme,Insurance_Coverage_Percent,Year
Andaman and Nicobar Islands,3479.0,1.05,0.47,Ayushman Bharat,0.0,2025
Andhra Pradesh,26032.0,29.32,36.17,Ayushman Bharat,68.7,2025
Arunachal Pradesh,11809.0,0.0,0.1,Ayushman Bharat,30.46666666666667,2025
Assam,911546.0,103.09,89.84,Ayushman Bharat,57.333333333333336,2025
Bihar,8102525.0,0.0,47.21,Ayushman Bharat,13.766666666666666,2025
Chandigarh,68617.0,5.13,3.11,Ayushman Bharat,32.25,2025
Chhattisgarh,1445291.0,14.66,23.27,Ayushman Bharat,70.76666666666667,2025
Dadra and Nagar Haveli and Daman and Diu,5673.0,0.53,0.47,Ayushman Bharat,0.0,2025
Goa,2993.0,0.0,0.03,Ayushman Bharat,66.2,2025
Gujarat,1298175.0,79.38,80.11,Ayushman Bharat,38.8,2025
Haryana,783923.0,0.0,26.46,Ayushman Bharat,26.066666666666663,2025
Himachal Pradesh,38007.0,23.11,20.0,Ayushman Bharat,35.233333333333334,2025
Jammu and Kashmir,156087.0,60.44,49.3,Ayushman Bharat,0.0,2025
Jharkhand,357193.0,21.27,226.57,Ayushman Bharat,48.333333333333336,2025
Karnataka,1379904.0,69.5,107.36,Ayushman Bharat,28.100000000000005,2025
Kerala,400685.0,16.45,20.89,Ayushman Bharat,51.36666666666667,2025
Ladakh,1581.0,0.31,0.31,Ayushman Bharat,17.9,2025
Lakshadweep,3629.0,0.0,0.39,Ayushman Bharat,61.73333333333333,2025
Madhya Pradesh,1976300.0,60.04,208.94,Ayushman Bharat,38.76666666666666,2025
Maharashtra,1772735.0,34.71,36.04,Ayushman Bharat,0.0,2025
Manipur,45204.0,5.74,12.56,Ayushman Bharat,13.933333333333332,2025
Meghalaya,111031.0,1.85,20.49,Ayushman Bharat,60.93333333333334,2025
Mizoram,21678.0,1.96,5.03,Ayushman Bharat,46.8,2025
NCT of Delhi,0.0,0.0,0.0,Ayushman Bharat,25.7,2025
Nagaland,65473.0,0.0,1.08,Ayushman Bharat,19.53333333333333,2025
Odisha,0.0,98.24,151.5,Ayushman Bharat,43.03333333333333,2025
Puducherry,17890.0,1.25,2.11,Ayushman Bharat,30.2,2025
Punjab,429386.0,1.14,30.46,Ayushman Bharat,25.433333333333334,2025
Rajasthan,387666.0,67.31,99.14,Ayushman Bharat,86.06666666666666,2025
Sikkim,6519.0,0.84,3.19,Ayushman Bharat,26.166666666666668,2025
Tamil Nadu,479990.0,168.72,418.55,Ayushman Bharat,66.33333333333333,2025
Telangana,9879.0,108.65,178.21,Ayushman Bharat,59.56666666666666,2025
Tripura,180142.0,2.12,3.15,Ayushman Bharat,31.46666666666667,2025
Uttar Pradesh,1387547.0,400.95,340.09,Ayushman Bharat,16.066666666666666,2025
Uttarakhand,287419.0,18.43,15.81,Ayushman Bharat,62.333333333333336,2025
West Bengal,0.0,71.98,52.41,Ayushman Bharat,28.45,2025
Andhra Pradesh,973837.0,32568.27,23800.26,PM Awas Yojana,68.7,2025
Bihar,147979.0,4950.45,3368.0,PM Awas Yojana,13.766666666666666,2025
Chhattisgarh,238894.0,4810.98,4088.81,PM Awas Yojana,70.76666666666667,2025
Goa,3145.0,74.76,75.04,PM Awas Yojana,66.2,2025
Gujarat,918185.0,21064.34,19805.76,PM Awas Yojana,38.8,2025
Haryana,68114.0,2171.64,1673.5,PM Awas Yojana,26.066666666666663,2025
Himachal Pradesh,10705.0,215.95,202.02,PM Awas Yojana,35.233333333333334,2025
Jharkhand,142810.0,3603.31,2987.87,PM Awas Yojana,48.333333333333336,2025
Karnataka,369449.0,10614.43,7168.29,PM Awas Yojana,28.100000000000005,2025
Kerala,123453.0,2781.18,2293.45,PM Awas Yojana,51.36666666666667,2025
Madhya Pradesh,801068.0,15930.45,15284.69,PM Awas Yojana,38.76666666666666,2025
Maharashtra,855339.0,25548.21,19323.37,PM Awas Yojana,0.0,2025
Odisha,147148.0,3176.98,2479.75,PM Awas Yojana,43.03333333333333,2025
Punjab,83894.0,2342.54,1825.79,PM Awas Yojana,25.433333333333334,2025
